DATE,____-5,____-4,____-3,____-2,____-1,_____0,POSITI,____+1,____DIF
2020-02-06,0.0043,0.0036,-0.0148,0.0044,0.0019,-0.0043,NOTRAD,1.1773,0.0002
2020-02-05,0.0004,0.0043,0.0036,-0.0148,0.0044,0.0019,SELL,1.1771,-0.0043
2020-02-04,-0.0036,0.0004,0.0043,0.0036,-0.0148,0.0044,BUY,1.1814,0.0019
2020-02-03,-0.0006,-0.0036,0.0004,0.0043,0.0036,-0.0148,BUY,1.1795,0.0044
2020-01-31,-0.0007,-0.0006,-0.0036,0.0004,0.0043,0.0036,SELL,1.1751,-0.0148
2020-01-30,0.0025,-0.0007,-0.0006,-0.0036,0.0004,0.0043,BUY,1.1899,0.0036
2020-01-29,0.0071,0.0025,-0.0007,-0.0006,-0.0036,0.0004,BUY,1.1863,0.0043
2020-01-28,0.0049,0.0071,0.0025,-0.0007,-0.0006,-0.0036,NOTRAD,1.1820,0.0004
2020-01-27,-0.0006,0.0049,0.0071,0.0025,-0.0007,-0.0006,SELL,1.1816,-0.0036
2020-01-24,-0.0011,-0.0006,0.0049,0.0071,0.0025,-0.0007,NOTRAD,1.1852,-0.0006
2020-01-23,0.004,-0.0011,-0.0006,0.0049,0.0071,0.0025,NOTRAD,1.1858,-0.0007
2020-01-22,-0.0006,0.004,-0.0011,-0.0006,0.0049,0.0071,BUY,1.1865,0.0025
2020-01-21,0.004,-0.0006,0.004,-0.0011,-0.0006,0.0049,BUY,1.1840,0.0071
2020-01-20,-0.0075,0.004,-0.0006,0.004,-0.0011,-0.0006,BUY,1.1769,0.0049
2020-01-17,-0.0028,-0.0075,0.004,-0.0006,0.004,-0.0011,NOTRAD,1.1720,-0.0006
2020-01-16,-0.0025,-0.0028,-0.0075,0.004,-0.0006,0.004,SELL,1.1726,-0.0011
2020-01-15,0.0026,-0.0025,-0.0028,-0.0075,0.004,-0.0006,BUY,1.1737,0.004
2020-01-14,-0.0003,0.0026,-0.0025,-0.0028,-0.0075,0.004,NOTRAD,1.1697,-0.0006
2020-01-13,0.0046,-0.0003,0.0026,-0.0025,-0.0028,-0.0075,BUY,1.1703,0.004
2020-01-10,-0.0039,0.0046,-0.0003,0.0026,-0.0025,-0.0028,SELL,1.1663,-0.0075
2020-01-09,-0.0054,-0.0039,0.0046,-0.0003,0.0026,-0.0025,SELL,1.1738,-0.0028
2020-01-08,-0.0006,-0.0054,-0.0039,0.0046,-0.0003,0.0026,SELL,1.1766,-0.0025
2020-01-07,0.0109,-0.0006,-0.0054,-0.0039,0.0046,-0.0003,BUY,1.1791,0.0026
2020-01-06,0.0014,0.0109,-0.0006,-0.0054,-0.0039,0.0046,NOTRAD,1.1765,-0.0003
2020-01-03,-0.0013,0.0014,0.0109,-0.0006,-0.0054,-0.0039,BUY,1.1768,0.0046
2020-01-02,0.0016,-0.0013,0.0014,0.0109,-0.0006,-0.0054,SELL,1.1722,-0.0039
2020-01-01,0.0016,0.0016,-0.0013,0.0014,0.0109,-0.0006,SELL,1.1761,-0.0054
2019-12-31,0.0013,0.0016,0.0016,-0.0013,0.0014,0.0109,NOTRAD,1.1815,-0.0006
2019-12-30,-0.0062,0.0013,0.0016,0.0016,-0.0013,0.0014,BUY,1.1821,0.0109
2019-12-27,0.0035,-0.0062,0.0013,0.0016,0.0016,-0.0013,BUY,1.1712,0.0014
2019-12-26,-0.0074,0.0035,-0.0062,0.0013,0.0016,0.0016,SELL,1.1698,-0.0013
2019-12-25,-0.0003,-0.0074,0.0035,-0.0062,0.0013,0.0016,BUY,1.1711,0.0016
2019-12-24,-0.0157,-0.0003,-0.0074,0.0035,-0.0062,0.0013,BUY,1.1695,0.0016
2019-12-23,-0.005,-0.0157,-0.0003,-0.0074,0.0035,-0.0062,BUY,1.1679,0.0013
2019-12-20,-0.0069,-0.005,-0.0157,-0.0003,-0.0074,0.0035,SELL,1.1666,-0.0062
2019-12-19,0.0191,-0.0069,-0.005,-0.0157,-0.0003,-0.0074,BUY,1.1728,0.0035
2019-12-18,0.0027,0.0191,-0.0069,-0.005,-0.0157,-0.0003,SELL,1.1693,-0.0074
2019-12-17,-0.0049,0.0027,0.0191,-0.0069,-0.005,-0.0157,NOTRAD,1.1767,-0.0003
2019-12-16,0.0001,-0.0049,0.0027,0.0191,-0.0069,-0.005,SELL,1.1770,-0.0157
2019-12-13,0.0027,0.0001,-0.0049,0.0027,0.0191,-0.0069,SELL,1.1927,-0.005
2019-12-12,0.0021,0.0027,0.0001,-0.0049,0.0027,0.0191,SELL,1.1977,-0.0069
2019-12-11,0.0102,0.0021,0.0027,0.0001,-0.0049,0.0027,BUY,1.2046,0.0191
2019-12-10,0.0045,0.0102,0.0021,0.0027,0.0001,-0.0049,BUY,1.1855,0.0027
2019-12-09,-0.0053,0.0045,0.0102,0.0021,0.0027,0.0001,SELL,1.1828,-0.0049
2019-12-06,0.0011,-0.0053,0.0045,0.0102,0.0021,0.0027,NOTRAD,1.1877,0.0001
2019-12-05,-0.0038,0.0011,-0.0053,0.0045,0.0102,0.0021,BUY,1.1876,0.0027
2019-12-04,0.0094,-0.0038,0.0011,-0.0053,0.0045,0.0102,BUY,1.1849,0.0021
